timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1706028932691,397,FindFlights/reserve.php-230,200,OK,Thread Group 1-1,text,true,,2254,640,2,2,https://blazedemo.com/reserve.php,396,0,116
1706028932899,459,FindFlights/reserve.php-230,200,OK,Thread Group 1-2,text,true,,2406,640,4,4,https://blazedemo.com/reserve.php,459,0,108
1706028933088,328,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-1,text,true,,2637,689,4,4,https://blazedemo.com/purchase.php,328,0,0
1706028933095,489,FindFlights/reserve.php-230,200,OK,Thread Group 1-3,text,true,,2362,640,5,5,https://blazedemo.com/reserve.php,488,0,109
1706028933359,270,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-2,text,true,,2651,689,5,5,https://blazedemo.com/purchase.php,269,0,0
1706028933416,323,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-1,text,true,,2369,805,5,5,https://blazedemo.com/confirmation.php,323,0,0
1706028933296,458,FindFlights/reserve.php-230,200,OK,Thread Group 1-4,text,true,,2330,640,4,4,https://blazedemo.com/reserve.php,458,0,111
1706028933495,366,FindFlights/reserve.php-230,200,OK,Thread Group 1-5,text,true,,2365,640,4,4,https://blazedemo.com/reserve.php,366,0,114
1706028933631,420,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-2,text,true,,2384,805,4,4,https://blazedemo.com/confirmation.php,419,0,0
1706028933585,474,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-3,text,true,,2529,689,3,3,https://blazedemo.com/purchase.php,473,0,0
1706028933862,298,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-5,text,true,,2524,689,3,3,https://blazedemo.com/purchase.php,298,0,0
1706028933755,442,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-4,text,true,,2446,689,3,3,https://blazedemo.com/purchase.php,442,0,0
1706028934060,280,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-3,text,true,,2393,805,3,3,https://blazedemo.com/confirmation.php,279,0,0
1706028934161,260,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-5,text,true,,2392,805,2,2,https://blazedemo.com/confirmation.php,258,0,0
1706028934198,313,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-4,text,true,,2360,805,1,1,https://blazedemo.com/confirmation.php,312,0,0
1706186333985,442,FindFlights/reserve.php-230,200,OK,Thread Group 1-1,text,true,,2406,632,3,3,https://blazedemo.com/reserve.php,441,0,124
1706186334393,438,FindFlights/reserve.php-230,200,OK,Thread Group 1-3,text,true,,2402,637,5,5,https://blazedemo.com/reserve.php,438,0,105
1706186334428,525,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-1,text,true,,2479,689,5,5,https://blazedemo.com/purchase.php,525,0,0
1706186334831,286,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-3,text,true,,2686,689,5,5,https://blazedemo.com/purchase.php,286,0,0
1706186334793,408,FindFlights/reserve.php-230,200,OK,Thread Group 1-5,text,true,,2292,635,5,5,https://blazedemo.com/reserve.php,403,0,112
1706186334596,710,FindFlights/reserve.php-230,200,OK,Thread Group 1-4,text,true,,2465,640,5,5,https://blazedemo.com/reserve.php,710,0,107
1706186334956,384,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-1,text,true,,2266,805,5,5,https://blazedemo.com/confirmation.php,384,0,0
1706186335117,298,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-3,text,true,,2413,805,4,4,https://blazedemo.com/confirmation.php,298,0,0
1706186335201,290,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-5,text,true,,2506,689,3,3,https://blazedemo.com/purchase.php,289,0,0
1706186335306,418,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-4,text,true,,2632,689,3,3,https://blazedemo.com/purchase.php,400,0,0
1706186335491,288,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-5,text,true,,2275,805,3,3,https://blazedemo.com/confirmation.php,288,0,0
1706186335724,298,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-4,text,true,,2458,805,2,2,https://blazedemo.com/confirmation.php,297,0,0
1706186334194,7561,FindFlights/reserve.php-230,200,OK,Thread Group 1-2,text,true,,2466,635,1,1,https://blazedemo.com/reserve.php,7561,0,139
1706186341755,273,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-2,text,true,,2536,689,1,1,https://blazedemo.com/purchase.php,273,0,0
1706186342028,278,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-2,text,true,,2345,805,1,1,https://blazedemo.com/confirmation.php,278,0,0
1706186406204,417,FindFlights/reserve.php-230,200,OK,Thread Group 1-2,text,true,,2275,635,4,4,https://blazedemo.com/reserve.php,417,0,150
1706186406404,479,FindFlights/reserve.php-230,200,OK,Thread Group 1-3,text,true,,2415,637,5,5,https://blazedemo.com/reserve.php,478,0,126
1706186406622,298,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-2,text,true,,2542,689,5,5,https://blazedemo.com/purchase.php,298,0,0
1706186406603,394,FindFlights/reserve.php-230,200,OK,Thread Group 1-4,text,true,,2464,640,5,5,https://blazedemo.com/reserve.php,394,0,126
1706186406883,284,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-3,text,true,,2649,689,5,5,https://blazedemo.com/purchase.php,281,0,0
1706186406921,281,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-2,text,true,,2411,805,5,5,https://blazedemo.com/confirmation.php,280,0,0
1706186406998,258,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-4,text,true,,2462,689,4,4,https://blazedemo.com/purchase.php,257,0,0
1706186406804,476,FindFlights/reserve.php-230,200,OK,Thread Group 1-5,text,true,,2423,635,4,4,https://blazedemo.com/reserve.php,476,0,154
1706186407167,295,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-3,text,true,,2370,805,4,4,https://blazedemo.com/confirmation.php,295,0,0
1706186407256,281,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-4,text,true,,2450,805,3,3,https://blazedemo.com/confirmation.php,281,0,0
1706186407280,289,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-5,text,true,,2488,689,2,2,https://blazedemo.com/purchase.php,287,0,0
1706186407570,340,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-5,text,true,,2305,805,2,2,https://blazedemo.com/confirmation.php,340,0,0
1706186406002,6852,FindFlights/reserve.php-230,200,OK,Thread Group 1-1,text,true,,2393,632,1,1,https://blazedemo.com/reserve.php,6852,0,149
1706186412854,404,ChooseFlight/purchase.php-237,200,OK,Thread Group 1-1,text,true,,2554,689,1,1,https://blazedemo.com/purchase.php,404,0,0
1706186413259,279,PuchaseFlight/confirmation.php-313,200,OK,Thread Group 1-1,text,true,,2274,805,1,1,https://blazedemo.com/confirmation.php,273,0,0
